                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98214,                0.79396,                0.85495,                0.39561,                0.45768,                0.41776,                  0.283,                 1.7069,                 2.0919,                 1.1706,             0.00027151,             0.00027151,             0.00027151
                      2,                0.93419,                0.64992,                0.85843,                 0.4377,                0.46548,                0.43782,                0.29521,                 1.5977,                 1.3222,                 1.1251,             0.00054628,             0.00054628,             0.00054628
                      3,                0.96223,                 0.6265,                0.86373,                0.75283,                0.48109,                0.45587,                0.30219,                 1.5312,                 1.2175,                 1.0877,             0.00080972,             0.00080972,             0.00080972
                      4,                0.92523,                0.57398,                0.83843,                0.82855,                  0.488,                 0.5185,                0.32634,                 1.5434,                 1.1285,                 1.0983,              0.0010619,              0.0010619,              0.0010619
                      5,                0.98901,                0.58483,                 0.8468,                0.85782,                0.48598,                0.53485,                0.32842,                 1.5196,                 1.1384,                 1.0757,              0.0013027,              0.0013027,              0.0013027
                      6,                0.97125,                0.59212,                0.85094,                0.86962,                0.47284,                0.53795,                0.33854,                  1.487,                 1.0734,                 1.0662,              0.0012875,              0.0012875,              0.0012875
                      7,                0.98596,                0.59353,                0.84995,                0.88238,                0.45723,                0.55571,                0.34501,                 1.4998,                 1.0404,                  1.067,              0.0012592,              0.0012592,              0.0012592
                      8,                0.85957,                0.51137,                0.82714,                0.86159,                0.46053,                0.55197,                0.33888,                 1.5106,                 1.0333,                 1.0765,              0.0012309,              0.0012309,              0.0012309
                      9,                0.91217,                0.53171,                0.83517,                0.84872,                0.50359,                0.56617,                0.34677,                 1.5253,                 0.9681,                  1.088,              0.0012026,              0.0012026,              0.0012026
                     10,                0.88475,                0.52527,                0.82981,                0.87604,                0.49538,                0.57859,                0.34945,                 1.4745,                 1.0435,                 1.0762,              0.0011744,              0.0011744,              0.0011744
                     11,                0.90983,                0.56211,                0.85111,                0.85528,                0.51886,                0.60362,                 0.3657,                  1.514,                 1.0159,                 1.0865,              0.0011461,              0.0011461,              0.0011461
                     12,                0.92965,                0.56644,                0.84641,                0.81406,                0.52283,                0.57774,                0.35515,                 1.4865,                  1.064,                 1.0694,              0.0011178,              0.0011178,              0.0011178
                     13,                0.93053,                0.54783,                0.84785,                 0.8446,                0.53305,                  0.567,                0.34479,                 1.5204,                  1.061,                 1.0782,              0.0010895,              0.0010895,              0.0010895
                     14,                0.91677,                0.54783,                0.85233,                0.41296,                0.56937,                0.58807,                0.34642,                 1.4953,                 1.1298,                 1.0762,              0.0010612,              0.0010612,              0.0010612
                     15,                 0.8991,                0.53142,                0.84766,                0.49267,                0.71544,                 0.6233,                0.36189,                 1.5078,                  1.012,                 1.0818,              0.0010329,              0.0010329,              0.0010329
                     16,                0.91229,                0.52141,                0.84635,                  0.531,                0.71097,                0.61107,                0.36987,                 1.4804,                 1.0182,                  1.071,              0.0010046,              0.0010046,              0.0010046
                     17,                0.90345,                0.51132,                0.84306,                0.55279,                0.78245,                0.65569,                0.38322,                 1.4808,                 1.0614,                 1.0814,             0.00097629,             0.00097629,             0.00097629
                     18,                0.87587,                0.51154,                0.84356,                0.61373,                0.65392,                0.65053,                0.38221,                 1.4721,                 0.9621,                 1.0773,               0.000948,               0.000948,               0.000948
                     19,                 0.8242,                0.46845,                0.82642,                0.60325,                 0.6893,                0.64241,                0.38172,                 1.4849,                 0.9958,                 1.0959,              0.0009197,              0.0009197,              0.0009197
                     20,                0.82459,                0.48834,                0.82856,                 0.6446,                0.63906,                0.61535,                0.36221,                 1.5347,                0.97281,                 1.1228,             0.00089141,             0.00089141,             0.00089141
                     21,                0.84651,                0.47806,                0.82046,                0.64939,                0.60302,                 0.6091,                0.36257,                 1.5074,                 1.0159,                 1.1084,             0.00086312,             0.00086312,             0.00086312
                     22,                0.80575,                0.46431,                0.83398,                0.67118,                0.68928,                0.65577,                0.38619,                 1.4783,                0.96131,                 1.0999,             0.00083482,             0.00083482,             0.00083482
                     23,                0.83018,                0.46893,                0.83003,                0.68552,                0.68305,                0.65672,                0.37947,                 1.5006,                 1.0426,                 1.1033,             0.00080653,             0.00080653,             0.00080653
                     24,                0.78856,                0.45108,                0.81397,                0.69876,                0.67179,                0.68113,                0.39426,                 1.5196,                0.97141,                 1.1123,             0.00077823,             0.00077823,             0.00077823
                     25,                0.81475,                0.46003,                0.83772,                 0.6424,                0.65031,                0.64872,                0.39116,                 1.5206,                0.99429,                 1.1027,             0.00074994,             0.00074994,             0.00074994
                     26,                0.82931,                0.46435,                0.83648,                0.75288,                0.59563,                 0.6779,                0.40036,                 1.5309,                0.98649,                 1.1065,             0.00072164,             0.00072164,             0.00072164
                     27,                0.81826,                0.46388,                0.83129,                0.72005,                0.64792,                0.67619,                0.40787,                 1.4963,                 0.9521,                 1.0971,             0.00069335,             0.00069335,             0.00069335
                     28,                0.79729,                0.45957,                0.82835,                 0.6336,                0.62497,                0.64022,                0.39286,                 1.5393,                  1.019,                 1.1118,             0.00066506,             0.00066506,             0.00066506
                     29,                0.78377,                0.43616,                0.82685,                 0.7208,                0.61759,                0.67139,                0.38731,                 1.5734,                0.93374,                  1.127,             0.00063676,             0.00063676,             0.00063676
                     30,                0.82414,                0.44753,                0.82209,                0.73103,                0.60236,                0.69676,                0.40013,                 1.5515,                0.95597,                 1.1184,             0.00060847,             0.00060847,             0.00060847
                     31,                0.77837,                0.42958,                0.82956,                0.72381,                0.61557,                0.68239,                0.39508,                 1.5379,                0.99987,                 1.1185,             0.00058017,             0.00058017,             0.00058017
                     32,                0.74583,                0.42548,                0.82313,                0.77684,                0.59881,                0.68692,                0.39463,                 1.5327,                0.95306,                 1.1208,             0.00055188,             0.00055188,             0.00055188
