                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5769,                 2.8136,                0.90687,                0.01881,                 0.9186,                0.06396,                0.03106,                 1.2596,                 3.1324,                0.81681,                0.00036,                0.00036,                0.00036
                      2,                 1.2581,                 1.0768,                0.84721,                 0.0194,                0.94767,                0.21762,                0.13825,                 1.0843,                 2.7971,                0.80367,             0.00072535,             0.00072535,             0.00072535
                      3,                 1.1909,                0.87726,                0.83635,                0.01988,                0.97093,                0.78787,                0.47298,                  1.095,                 2.5072,                0.80457,              0.0010756,              0.0010756,              0.0010756
                      4,                 1.1155,                0.81719,                0.82853,                0.98524,                0.77635,                0.92894,                0.58259,                 1.1029,                 2.1736,                 0.8098,              0.0014109,              0.0014109,              0.0014109
                      5,                 1.1945,                0.78633,                0.83736,                0.98001,                0.87209,                0.96651,                0.63761,                 1.1787,                 1.4774,                0.82266,              0.0017311,              0.0017311,              0.0017311
                      6,                 1.1731,                0.75487,                0.83436,                 0.9756,                0.92972,                0.96908,                0.65806,                  1.178,                 1.0002,                0.82804,               0.001802,               0.001802,               0.001802
                      7,                 1.0928,                0.71994,                0.82724,                0.95365,                0.95688,                0.96897,                0.69129,                 1.0436,                0.68771,                0.80353,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1205,                0.69665,                0.82936,                0.96499,                0.96145,                0.97866,                0.70946,                0.94611,                0.68395,                0.79327,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0226,                0.63973,                0.82376,                0.98797,                0.95518,                0.98125,                0.74485,                 0.8681,                0.55734,                0.78383,              0.0016832,              0.0016832,              0.0016832
                     10,                0.96189,                0.61497,                0.81942,                0.99401,                0.96506,                0.98246,                0.73406,                0.88114,                0.53031,                0.78732,              0.0016436,              0.0016436,              0.0016436
                     11,                 0.9475,                0.59001,                0.81688,                0.99394,                0.95335,                0.98086,                0.74004,                0.91196,                0.50185,                   0.79,               0.001604,               0.001604,               0.001604
                     12,                0.93275,                0.56312,                0.81697,                 0.9899,                 0.9593,                0.98382,                 0.7644,                0.85306,                0.49987,                 0.7852,              0.0015644,              0.0015644,              0.0015644
                     13,                0.92168,                0.56483,                0.80529,                0.99146,                0.96512,                0.98328,                0.75346,                 0.8374,                0.50759,                0.77944,              0.0015248,              0.0015248,              0.0015248
                     14,                0.91846,                 0.5449,                0.80918,                0.98815,                0.96984,                0.98301,                0.72915,                0.90738,                0.50562,                0.78882,              0.0014852,              0.0014852,              0.0014852
                     15,                 0.9125,                0.53393,                0.80795,                0.99397,                0.95862,                 0.9828,                0.75863,                0.84588,                0.48456,                 0.7861,              0.0014456,              0.0014456,              0.0014456
                     16,                0.88278,                0.51438,                0.81142,                0.98497,                0.96512,                0.98123,                0.76666,                0.81899,                0.47209,                0.78103,               0.001406,               0.001406,               0.001406
                     17,                0.88593,                0.51143,                0.80467,                0.97123,                 0.9593,                0.98208,                0.76447,                 0.8155,                0.45168,                0.78334,              0.0013664,              0.0013664,              0.0013664
                     18,                0.84972,                0.49643,                0.80699,                0.99149,                0.95349,                0.98348,                0.76416,                0.80025,                 0.4395,                0.78598,              0.0013268,              0.0013268,              0.0013268
                     19,                0.83846,                0.48581,                0.80331,                0.99151,                0.96512,                 0.9839,                0.77042,                0.81364,                0.44717,                0.77967,              0.0012872,              0.0012872,              0.0012872
                     20,                0.80939,                0.47536,                0.79997,                0.99404,                0.96939,                0.98436,                0.76836,                0.77993,                0.44748,                0.78118,              0.0012476,              0.0012476,              0.0012476
                     21,                0.82208,                 0.4696,                 0.7981,                0.98682,                0.97674,                0.98445,                0.77698,                 0.7701,                0.41989,                0.78035,               0.001208,               0.001208,               0.001208
                     22,                0.82068,                0.46249,                0.79971,                0.98816,                0.97027,                0.98405,                0.78074,                0.76863,                0.41993,                0.77896,              0.0011684,              0.0011684,              0.0011684
                     23,                0.79752,                0.45541,                0.80174,                0.97651,                0.96674,                0.98319,                0.78425,                0.74011,                0.40894,                0.77508,              0.0011288,              0.0011288,              0.0011288
                     24,                0.79447,                0.44886,                0.79654,                0.98814,                0.96863,                0.98378,                0.77467,                0.75388,                0.41227,                0.78017,              0.0010892,              0.0010892,              0.0010892
                     25,                0.81011,                0.45344,                0.80003,                0.98636,                0.96512,                0.98366,                 0.7771,                 0.7642,                 0.4158,                0.77686,              0.0010496,              0.0010496,              0.0010496
                     26,                0.75235,                0.43453,                0.79802,                0.98282,                 0.9593,                 0.9818,                0.78029,                0.75598,                0.41461,                0.77657,                0.00101,                0.00101,                0.00101
                     27,                0.75184,                0.42288,                0.79753,                0.97469,                0.97093,                0.98308,                0.79382,                0.71588,                0.39427,                0.77609,              0.0009704,              0.0009704,              0.0009704
                     28,                0.74543,                0.42255,                0.79433,                0.98653,                0.96512,                0.98151,                0.78765,                0.74477,                0.39489,                0.77779,              0.0009308,              0.0009308,              0.0009308
                     29,                0.73023,                 0.4233,                0.79717,                0.98359,                0.97093,                0.98397,                0.80292,                0.70532,                0.39598,                0.77548,              0.0008912,              0.0008912,              0.0008912
                     30,                0.73221,                0.41068,                0.79784,                0.98103,                0.97093,                0.98491,                0.79516,                 0.7377,                0.40057,                0.77861,              0.0008516,              0.0008516,              0.0008516
                     31,                 0.7432,                0.41884,                0.79926,                0.97565,                0.97093,                0.98412,                0.79829,                0.72852,                0.39985,                0.77586,               0.000812,               0.000812,               0.000812
                     32,                 0.7122,                0.40497,                0.79429,                0.98225,                0.96525,                0.98398,                  0.801,                0.73383,                0.40533,                0.77798,              0.0007724,              0.0007724,              0.0007724
                     33,                0.71337,                0.40573,                0.79233,                0.98816,                0.97082,                0.98472,                0.80004,                0.75497,                0.39421,                0.77826,              0.0007328,              0.0007328,              0.0007328
                     34,                0.71724,                0.40397,                0.79423,                0.98813,                0.96835,                0.98413,                0.79809,                0.70824,                0.38689,                0.77359,              0.0006932,              0.0006932,              0.0006932
                     35,                0.71174,                0.40238,                0.79197,                 0.9851,                0.97093,                0.98483,                0.80677,                0.70524,                0.38997,                0.77163,              0.0006536,              0.0006536,              0.0006536
                     36,                0.68067,                0.38965,                0.79199,                0.97664,                0.97093,                0.98507,                0.81029,                 0.7117,                0.37913,                0.77279,               0.000614,               0.000614,               0.000614
                     37,                0.68331,                0.38392,                0.79245,                0.98215,                0.97093,                0.98555,                0.81729,                0.69949,                0.37602,                0.77462,              0.0005744,              0.0005744,              0.0005744
                     38,                0.68346,                 0.3804,                0.78633,                 0.9766,                0.97067,                0.98515,                0.80591,                0.71372,                0.38398,                0.77496,              0.0005348,              0.0005348,              0.0005348
                     39,                0.65118,                0.37497,                0.79266,                0.98028,                0.97093,                0.98518,                 0.8104,                0.70683,                0.39316,                0.77432,              0.0004952,              0.0004952,              0.0004952
                     40,                0.67582,                0.38228,                0.79255,                 0.9887,                0.96512,                0.98514,                  0.798,                0.71507,                0.37889,                0.77657,              0.0004556,              0.0004556,              0.0004556
                     41,                0.60746,                0.37084,                0.78271,                0.98168,                0.97093,                0.98494,                0.80497,                0.69443,                0.37771,                 0.7753,               0.000416,               0.000416,               0.000416
                     42,                0.58299,                0.35796,                0.78403,                0.98526,                0.97093,                0.98473,                0.80353,                0.68813,                0.36932,                0.77235,              0.0003764,              0.0003764,              0.0003764
                     43,                0.57879,                0.35513,                   0.79,                0.99089,                0.97093,                0.98544,                0.80689,                0.72159,                0.37453,                0.77566,              0.0003368,              0.0003368,              0.0003368
