                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84063,                 2.5279,                 1.1801,                0.38896,                0.28261,                 0.4056,                0.28664,                 1.0877,                 2.4688,                 1.3589,             0.00038341,             0.00038341,             0.00038341
                      2,                0.86134,                  1.612,                 1.1515,                 0.6284,                0.44368,                0.54301,                0.39283,                0.90425,                 2.0182,                 1.2422,             0.00076798,             0.00076798,             0.00076798
                      3,                0.88094,                  1.503,                 1.1534,                0.63513,                0.44756,                0.53138,                0.36493,                 1.1486,                 1.9353,                 1.4865,              0.0011367,              0.0011367,              0.0011367
                      4,                0.84583,                  1.328,                 1.1343,                0.91264,                0.40435,                0.57661,                 0.4194,                0.96259,                 1.7678,                 1.3652,              0.0014896,              0.0014896,              0.0014896
                      5,                0.86569,                 1.2478,                 1.1422,                0.48954,                0.64592,                0.59795,                0.45526,                0.90762,                 1.6326,                 1.3425,               0.001535,               0.001535,               0.001535
                      6,                0.86908,                  1.243,                 1.1397,                0.72154,                0.66739,                0.72539,                0.51603,                0.99797,                 1.3283,                   1.33,               0.001502,               0.001502,               0.001502
                      7,                0.82133,                  1.146,                 1.1103,                 0.6897,                0.65927,                0.70173,                0.52648,                0.89742,                 1.2844,                 1.2229,               0.001469,               0.001469,               0.001469
                      8,                0.83567,                 1.1108,                 1.1334,                 0.7143,                0.53663,                0.61867,                0.42121,                0.95995,                 1.4941,                 1.2404,               0.001436,               0.001436,               0.001436
                      9,                 0.8263,                 1.0365,                   1.11,                0.71569,                0.54644,                0.67177,                0.47975,                 0.8598,                 1.4643,                 1.1873,              0.0014029,              0.0014029,              0.0014029
                     10,                0.82571,                 1.0213,                 1.1211,                0.68025,                0.74612,                0.77301,                0.57655,                0.81521,                 1.1511,                 1.1654,              0.0013699,              0.0013699,              0.0013699
                     11,                0.77876,                0.95202,                 1.0754,                0.75115,                0.64457,                0.69193,                0.53573,                0.78121,                 1.0636,                 1.1236,              0.0013369,              0.0013369,              0.0013369
                     12,                0.76524,                0.89553,                 1.1038,                  0.556,                0.57411,                0.56534,                 0.4446,                0.82783,                 1.5159,                 1.1361,              0.0013039,              0.0013039,              0.0013039
                     13,                0.78205,                0.87499,                 1.0791,                0.81624,                0.75389,                0.78358,                0.60886,                0.73677,                0.86429,                 1.0882,              0.0012709,              0.0012709,              0.0012709
                     14,                0.77709,                0.86459,                 1.0987,                0.71912,                0.68685,                 0.7175,                0.53671,                0.80135,                0.96433,                  1.136,              0.0012379,              0.0012379,              0.0012379
                     15,                0.73865,                0.85273,                 1.0725,                0.76845,                0.81854,                 0.8112,                0.62444,                0.74939,                0.82328,                 1.0886,              0.0012049,              0.0012049,              0.0012049
                     16,                0.75969,                 0.8059,                 1.0816,                0.74292,                0.80393,                0.77683,                0.59225,                0.74102,                 0.9405,                 1.1312,              0.0011719,              0.0011719,              0.0011719
                     17,                0.71609,                0.73987,                 1.0504,                0.81435,                0.74987,                0.80751,                0.62198,                0.69778,                0.76884,                 1.0673,              0.0011389,              0.0011389,              0.0011389
                     18,                0.70038,                0.72439,                   1.04,                0.74805,                0.67556,                 0.7479,                0.58768,                0.75332,                 0.8718,                 1.0864,              0.0011059,              0.0011059,              0.0011059
                     19,                0.72203,                0.74585,                 1.0492,                0.77669,                0.82728,                0.84505,                0.66009,                0.69248,                0.72682,                 1.0549,              0.0010729,              0.0010729,              0.0010729
                     20,                0.70642,                0.72085,                 1.0535,                0.85303,                 0.7444,                0.81651,                0.66104,                0.63574,                0.77814,                   1.06,              0.0010399,              0.0010399,              0.0010399
                     21,                0.73118,                0.73237,                 1.0607,                0.79875,                0.82464,                0.85029,                0.65701,                0.71707,                0.72085,                 1.1144,              0.0010069,              0.0010069,              0.0010069
                     22,                0.69502,                0.66265,                 1.0375,                0.77234,                0.79853,                0.83503,                0.66581,                0.68799,                0.76331,                 1.0819,             0.00097386,             0.00097386,             0.00097386
                     23,                0.66524,                0.66069,                 1.0125,                0.73759,                0.80154,                0.83468,                0.65539,                0.60809,                0.70078,                0.99756,             0.00094085,             0.00094085,             0.00094085
                     24,                0.66055,                  0.638,                 1.0396,                0.84372,                0.77905,                0.82764,                0.66481,                0.62831,                 0.7121,                  1.009,             0.00090785,             0.00090785,             0.00090785
                     25,                0.66048,                0.64804,                 1.0175,                0.72399,                0.83221,                0.84169,                0.67188,                0.61019,                0.63259,                 0.9961,             0.00087484,             0.00087484,             0.00087484
                     26,                0.65979,                0.63602,                 1.0313,                0.75658,                 0.8332,                0.83731,                0.66904,                0.63852,                0.64444,                 1.0248,             0.00084184,             0.00084184,             0.00084184
                     27,                0.65642,                0.62161,                 1.0272,                0.89736,                 0.7249,                0.84025,                0.67173,                0.61871,                0.67069,                0.99086,             0.00080883,             0.00080883,             0.00080883
                     28,                0.61154,                0.57446,                 1.0116,                0.80692,                0.81517,                0.83741,                0.67914,                0.59309,                0.65679,                0.98297,             0.00077582,             0.00077582,             0.00077582
                     29,                0.60908,                0.57376,                0.99419,                0.79996,                0.82899,                0.87006,                0.70634,                 0.6116,                0.62906,                 0.9853,             0.00074282,             0.00074282,             0.00074282
                     30,                0.61471,                0.56776,                 1.0098,                0.77497,                0.70421,                0.74111,                 0.6029,                0.62034,                0.79348,                0.99061,             0.00070981,             0.00070981,             0.00070981
                     31,                0.60051,                0.55938,                0.99355,                0.78254,                0.87661,                 0.8821,                0.71207,                0.60843,                0.60553,                0.98824,              0.0006768,              0.0006768,              0.0006768
