                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3881,                 125.33,                  2.526,                      0,                      0,                      0,                      0,                0.40166,                 96.562,                0.22792,                0.00036,                0.00036,                0.00036
                      2,                 4.6202,                 36.673,                 2.4547,                      0,                      0,                      0,                      0,                 0.3302,                 25.297,                0.18825,              0.0007107,              0.0007107,              0.0007107
                      3,                 3.0666,                 2.1646,                 1.6154,                      0,                      0,                      0,                      0,                0.30176,                 4.8242,                0.16922,              0.0010313,              0.0010313,              0.0010313
                      4,                 2.6013,                 1.5088,                 1.1793,                      0,                      0,                      0,                      0,                 2.2593,                  35.75,                 1.0944,              0.0013218,              0.0013218,              0.0013218
                      5,                  2.328,                 1.2872,                 1.0832,                0.78639,                0.26163,                0.29512,                0.09098,                 3.0468,                 1.9363,                 1.4351,              0.0015822,              0.0015822,              0.0015822
                      6,                  2.162,                 1.2084,                 1.0471,                0.91584,                0.82254,                0.86102,                0.37359,                 2.0492,                 1.1236,                 1.1238,               0.001604,               0.001604,               0.001604
                      7,                 2.0313,                 1.1379,                 1.0263,                0.91776,                0.90833,                0.94738,                0.40246,                  2.051,                0.95068,                 1.0344,              0.0015248,              0.0015248,              0.0015248
                      8,                 2.0969,                 1.1121,                 1.0176,                0.95875,                0.94767,                0.96792,                0.34002,                 2.4091,                 1.0176,                 1.0565,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.9169,                 1.0149,                 0.9911,                0.95439,                0.94186,                0.97375,                 0.4241,                 1.9849,                0.99989,                0.97626,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.8531,                 1.0134,                0.98948,                0.96378,                0.92823,                0.95757,                0.53041,                 1.6829,                0.85587,                0.93716,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.7124,                0.92411,                 0.9661,                0.97615,                0.94767,                 0.9718,                0.52991,                 1.5824,                0.80809,                0.91426,               0.001208,               0.001208,               0.001208
                     12,                  1.736,                0.91879,                0.96841,                0.98178,                0.93977,                 0.9723,                0.51942,                 1.6018,                0.77448,                0.92279,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.7541,                0.92045,                0.95311,                0.94302,                0.91279,                0.95218,                0.50033,                 1.7003,                0.76982,                0.93295,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.6434,                0.85625,                0.94003,                 0.9574,                0.91472,                 0.9537,                0.54675,                 1.4562,                0.70998,                0.90953,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.6153,                0.85346,                0.93086,                0.92977,                0.92369,                0.94346,                0.53001,                 1.5226,                 0.7249,                0.91232,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.6302,                0.98297,                0.97312,                0.97067,                0.93605,                0.97249,                0.56849,                 1.5059,                0.70152,                0.89533,               0.000812,               0.000812,               0.000812
                     17,                 1.5445,                0.91345,                0.96024,                0.97213,                0.91279,                0.97087,                0.60181,                 1.3514,                0.70789,                0.89149,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.4594,                0.88362,                0.92529,                0.94832,                0.96022,                0.97408,                0.61124,                 1.3077,                0.67985,                0.86999,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.4137,                 0.8667,                0.93042,                  0.985,                 0.9593,                0.98385,                0.60872,                 1.2585,                0.62627,                0.86951,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.3459,                0.80948,                0.92117,                0.98731,                0.93023,                0.96947,                0.60528,                 1.2709,                0.63309,                0.87464,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.2901,                 0.7822,                0.91695,                0.95396,                0.96364,                0.98251,                0.64394,                 1.1894,                0.59186,                0.85135,               0.000416,               0.000416,               0.000416
                     22,                  1.313,                0.79016,                0.91012,                0.93502,                0.96512,                0.97548,                0.64778,                  1.205,                0.60715,                0.86181,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.2646,                0.78978,                0.90942,                 0.9329,                0.97002,                0.97938,                0.63461,                 1.2015,                0.58706,                0.86124,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.2435,                0.73923,                0.90899,                0.94798,                0.94767,                0.97077,                0.64349,                 1.1681,                0.56648,                0.85648,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.2402,                0.73887,                 0.9052,                0.96797,                 0.9593,                0.98337,                 0.6491,                 1.1816,                0.56732,                0.85285,               9.92e-05,               9.92e-05,               9.92e-05
