                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0274,                 0.8641,                0.97121,                0.79254,                0.75488,                0.79343,                0.56813,                0.75516,                0.80585,                0.92986,             0.00046526,             0.00046526,             0.00046526
                      2,                0.97874,                0.69891,                0.94263,                0.82161,                0.72342,                0.77426,                0.56558,                0.81717,                0.77974,                0.97003,             0.00092295,             0.00092295,             0.00092295
                      3,                0.96362,                0.66629,                0.94344,                0.78255,                 0.7613,                 0.7642,                0.55438,                0.83527,                0.80075,                 1.0126,              0.0013618,              0.0013618,              0.0013618
                      4,                0.96072,                0.65178,                0.94496,                0.77333,                0.81806,                0.81358,                 0.5995,                0.80614,                0.73207,                  0.994,              0.0013441,              0.0013441,              0.0013441
                      5,                 0.9101,                0.62526,                0.93734,                0.81791,                0.77985,                0.81727,                0.58152,                0.86182,                0.79669,                 1.0311,              0.0013158,              0.0013158,              0.0013158
                      6,                0.89977,                0.59281,                0.93226,                0.75286,                 0.7428,                0.75619,                  0.552,                0.79504,                0.79659,                0.98187,              0.0012875,              0.0012875,              0.0012875
                      7,                0.90885,                0.59954,                0.92342,                0.82083,                0.78737,                0.82434,                0.59982,                0.79621,                0.69682,                  1.006,              0.0012592,              0.0012592,              0.0012592
                      8,                 0.8551,                0.58347,                0.93225,                0.76846,                 0.7146,                0.74276,                0.55095,                0.76771,                0.79704,                0.99037,              0.0012309,              0.0012309,              0.0012309
                      9,                0.86408,                0.57714,                0.91953,                0.78208,                0.76288,                0.77798,                0.59201,                0.76671,                0.76585,                0.99493,              0.0012026,              0.0012026,              0.0012026
                     10,                0.87118,                0.57204,                0.93072,                0.73586,                0.70235,                0.69437,                0.52416,                0.80818,                0.88121,                0.98514,              0.0011744,              0.0011744,              0.0011744
                     11,                0.83953,                0.56199,                0.92307,                0.80623,                0.79583,                 0.8098,                0.62091,                0.73941,                0.66072,                0.96077,              0.0011461,              0.0011461,              0.0011461
                     12,                0.80083,                0.54129,                0.90844,                0.86915,                0.78411,                 0.8161,                0.61625,                0.72326,                0.68036,                 0.9649,              0.0011178,              0.0011178,              0.0011178
