                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4036,                 4.1445,                  1.325,                0.72162,                0.04955,                0.03116,                0.01138,                 2.4747,                 3.2676,                 1.3839,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.4407,                 3.9311,                  1.399,                0.72607,                0.05405,                 0.0319,                0.01249,                 2.4029,                 3.2509,                 1.3597,             4.2021e-05,             4.2021e-05,             4.2021e-05
                      3,                 2.2934,                 4.0706,                  1.365,                0.72592,                0.05405,                0.03611,                0.01455,                 2.3291,                 3.2209,                 1.3408,             6.8621e-05,             6.8621e-05,             6.8621e-05
                      4,                 2.3621,                 3.9665,                 1.3506,                0.39974,                0.09009,                0.04911,                0.02282,                 2.2839,                 3.1042,                 1.3354,             9.4088e-05,             9.4088e-05,             9.4088e-05
                      5,                 2.2874,                 3.6925,                 1.3396,                0.39647,                0.09459,                0.08024,                0.03782,                 2.2224,                 2.9329,                 1.3235,             0.00011842,             0.00011842,             0.00011842
                      6,                 2.1628,                 3.5532,                 1.2264,                0.40144,                0.14414,                0.15652,                0.08031,                 2.1795,                 2.7219,                 1.3317,             0.00014163,             0.00014163,             0.00014163
                      7,                  2.118,                 3.3896,                 1.2524,                0.40075,                 0.1982,                0.21669,                0.11145,                 2.1516,                 2.5459,                  1.342,              0.0001637,              0.0001637,              0.0001637
                      8,                 2.0815,                 3.1829,                 1.2415,                0.41606,                 0.2509,                0.24251,                0.11959,                 2.1524,                 2.4432,                 1.3662,             0.00018464,             0.00018464,             0.00018464
                      9,                 2.1508,                 3.0218,                 1.2498,                0.41032,                0.27793,                0.24647,                0.11865,                 2.1433,                 2.4274,                 1.3756,             0.00020445,             0.00020445,             0.00020445
                     10,                 2.1162,                 2.9504,                 1.2104,                0.26111,                0.31068,                 0.2509,                0.12526,                 2.1459,                 2.3963,                 1.3811,             0.00022313,             0.00022313,             0.00022313
                     11,                 2.1726,                 2.9344,                 1.2269,                0.21973,                0.42027,                0.24919,                0.12289,                  2.147,                 2.3872,                 1.3826,             0.00024067,             0.00024067,             0.00024067
                     12,                 2.1089,                  2.738,                 1.2809,                0.18042,                0.47688,                0.25873,                0.12537,                 2.1502,                 2.3817,                 1.3807,             0.00025709,             0.00025709,             0.00025709
                     13,                 2.0588,                 2.6456,                 1.1745,                0.18536,                0.48344,                0.26379,                0.12034,                 2.1565,                 2.3994,                 1.3757,             0.00027237,             0.00027237,             0.00027237
                     14,                 2.0511,                 2.5745,                  1.187,                0.18145,                0.47688,                 0.2554,                 0.1151,                 2.1535,                 2.3945,                 1.3611,             0.00028652,             0.00028652,             0.00028652
                     15,                 1.9451,                 2.4431,                 1.1663,                0.19259,                0.49249,                  0.266,                0.12166,                 2.1709,                 2.3673,                 1.3581,             0.00029954,             0.00029954,             0.00029954
                     16,                 2.0045,                 2.4685,                 1.1645,                0.19798,                0.46336,                0.26116,                0.12347,                 2.1822,                 2.3426,                 1.3528,             0.00031142,             0.00031142,             0.00031142
                     17,                 2.0773,                 2.3994,                 1.1954,                0.20795,                0.47795,                0.26676,                0.13003,                 2.1951,                 2.3028,                 1.3476,             0.00032218,             0.00032218,             0.00032218
                     18,                   2.06,                 2.2339,                 1.2062,                0.22403,                0.46967,                0.28109,                0.13962,                 2.1915,                 2.2874,                  1.331,              0.0003318,              0.0003318,              0.0003318
                     19,                 1.9614,                 2.2297,                 1.1747,                0.59913,                0.37795,                0.29164,                0.14531,                 2.1786,                 2.2787,                 1.3118,             0.00034029,             0.00034029,             0.00034029
                     20,                 1.9382,                 2.2342,                 1.1272,                0.61887,                0.37783,                0.30955,                0.15262,                 2.1773,                 2.2552,                 1.3013,             0.00034765,             0.00034765,             0.00034765
                     21,                 1.9943,                  2.182,                 1.1667,                0.29241,                 0.3979,                0.34756,                0.15837,                 2.1861,                 2.1852,                 1.2978,             0.00035388,             0.00035388,             0.00035388
                     22,                 1.9295,                 2.1334,                 1.1697,                0.33481,                0.47147,                0.36232,                0.16366,                  2.179,                 2.1156,                 1.2836,             0.00035897,             0.00035897,             0.00035897
                     23,                 1.9707,                 2.1127,                 1.1026,                0.34292,                0.42731,                0.36156,                0.17307,                  2.157,                 2.0581,                 1.2681,             0.00036294,             0.00036294,             0.00036294
                     24,                 1.9617,                 2.1118,                 1.1094,                0.41064,                0.34956,                0.36106,                 0.1767,                 2.1249,                 2.0432,                 1.2453,             0.00036577,             0.00036577,             0.00036577
                     25,                 2.0413,                 2.0887,                 1.1241,                0.32305,                0.45345,                0.34957,                0.18006,                 2.1105,                 2.0584,                  1.237,             0.00036747,             0.00036747,             0.00036747
                     26,                 1.9492,                 1.9706,                 1.1783,                0.34342,                0.46563,                0.35471,                0.18045,                 2.1233,                 2.1003,                 1.2309,             0.00036804,             0.00036804,             0.00036804
                     27,                 1.8609,                 1.9426,                 1.0631,                0.36946,                0.41607,                 0.3565,                0.18245,                 2.1477,                 2.1075,                 1.2316,             0.00036748,             0.00036748,             0.00036748
                     28,                 1.8711,                 1.9175,                  1.072,                0.36946,                0.41607,                 0.3565,                0.18245,                 2.1477,                 2.1075,                 1.2316,             0.00036578,             0.00036578,             0.00036578
                     29,                  1.892,                 1.8672,                 1.0489,                0.30011,                0.64072,                0.35641,                0.17944,                 2.1336,                 2.1189,                 1.2192,             0.00036295,             0.00036295,             0.00036295
                     30,                 1.8905,                 2.0198,                 1.0466,                0.32227,                 0.6045,                0.35883,                0.17494,                 2.1094,                 2.1314,                 1.2019,               0.000359,               0.000359,               0.000359
                     31,                 1.8613,                 1.8261,                 1.0856,                0.32227,                 0.6045,                0.35883,                0.17494,                 2.1094,                 2.1314,                 1.2019,             0.00035391,             0.00035391,             0.00035391
                     32,                 1.8648,                 1.8725,                 1.0804,                0.33461,                0.60447,                0.36628,                0.17966,                 2.0752,                  2.133,                 1.1829,             0.00034768,             0.00034768,             0.00034768
                     33,                 1.8834,                 1.8125,                 1.0793,                0.44021,                0.48818,                 0.3938,                 0.1792,                 2.0625,                 2.0977,                 1.1696,             0.00034033,             0.00034033,             0.00034033
                     34,                 1.9329,                 1.7708,                 1.1177,                0.44021,                0.48818,                 0.3938,                 0.1792,                 2.0625,                 2.0977,                 1.1696,             0.00033185,             0.00033185,             0.00033185
                     35,                  1.866,                 1.8858,                 1.1061,                0.46742,                0.52428,                0.41472,                0.18282,                 2.0658,                 2.0317,                  1.166,             0.00032223,             0.00032223,             0.00032223
                     36,                 1.9124,                 1.8019,                 1.0911,                0.49184,                0.48664,                0.41808,                0.18569,                 2.0686,                 1.9719,                 1.1674,             0.00031148,             0.00031148,             0.00031148
                     37,                  1.899,                 1.7599,                 1.0531,                0.49184,                0.48664,                0.41808,                0.18569,                 2.0686,                 1.9719,                 1.1674,              0.0002996,              0.0002996,              0.0002996
                     38,                 1.8255,                 1.7409,                 1.1004,                0.54499,                0.45767,                0.42463,                0.19011,                 2.0626,                 1.9209,                 1.1677,             0.00028659,             0.00028659,             0.00028659
                     39,                 1.8936,                 1.6801,                  1.163,                0.37529,                0.61549,                0.43206,                0.19915,                 2.0493,                 1.8631,                 1.1665,             0.00027244,             0.00027244,             0.00027244
                     40,                 1.9052,                 1.7687,                 1.0981,                0.37529,                0.61549,                0.43206,                0.19915,                 2.0493,                 1.8631,                 1.1665,             0.00025717,             0.00025717,             0.00025717
                     41,                 1.8435,                 1.7431,                 1.0976,                0.57429,                0.47233,                0.45329,                0.20649,                 2.0297,                 1.8032,                  1.164,             0.00024076,             0.00024076,             0.00024076
                     42,                 1.8791,                 1.7159,                 1.1772,                0.54384,                0.48265,                0.46916,                0.21798,                 2.0205,                 1.7621,                 1.1649,             0.00022322,             0.00022322,             0.00022322
                     43,                 1.8182,                 1.6977,                 1.0609,                0.54384,                0.48265,                0.46916,                0.21798,                 2.0205,                 1.7621,                 1.1649,             0.00020455,             0.00020455,             0.00020455
                     44,                 1.8581,                 1.7261,                 1.1231,                 0.5597,                0.53946,                 0.5028,                0.22915,                 2.0071,                 1.7368,                 1.1671,             0.00018474,             0.00018474,             0.00018474
                     45,                 1.7702,                   1.69,                 1.0969,                 0.5597,                0.53946,                 0.5028,                0.22915,                 2.0071,                 1.7368,                 1.1671,             0.00016381,             0.00016381,             0.00016381
                     46,                 1.8023,                 1.5889,                 1.0979,                 0.5437,                 0.5344,                0.50608,                0.22661,                 2.0091,                 1.7074,                  1.172,             0.00014174,             0.00014174,             0.00014174
                     47,                 1.8339,                 1.6859,                 1.0739,                 0.5437,                 0.5344,                0.50608,                0.22661,                 2.0091,                 1.7074,                  1.172,             0.00011854,             0.00011854,             0.00011854
                     48,                 1.7366,                 1.6731,                 1.0683,                0.54465,                0.53273,                 0.5128,                0.22879,                 2.0155,                 1.6953,                 1.1766,             9.4214e-05,             9.4214e-05,             9.4214e-05
                     49,                 1.8079,                  1.684,                    1.1,                0.54465,                0.53273,                 0.5128,                0.22879,                 2.0155,                 1.6953,                 1.1766,             6.8752e-05,             6.8752e-05,             6.8752e-05
                     50,                 1.7464,                 1.5921,                 1.1441,                0.53977,                0.53724,                0.51751,                0.23537,                 2.0155,                  1.687,                 1.1777,             4.2158e-05,             4.2158e-05,             4.2158e-05
