                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58849,                0.53188,                0.99156,                0.86851,                0.78971,                0.82444,                0.68002,                0.57564,                0.61815,                0.97433,             0.00051177,             0.00051177,             0.00051177
                     37,                0.57368,                0.51736,                0.99113,                0.80718,                0.79967,                0.82277,                0.69256,                0.53912,                0.58381,                0.94401,             0.00047876,             0.00047876,             0.00047876
                     38,                0.56724,                0.51319,                0.99408,                0.84467,                0.78775,                0.84432,                0.69742,                0.57272,                0.61012,                0.97552,             0.00044576,             0.00044576,             0.00044576
                     39,                 0.5416,                0.47169,                0.95862,                0.82019,                0.79839,                0.87042,                0.72086,                0.54756,                0.68808,                0.96372,             0.00041275,             0.00041275,             0.00041275
                     40,                0.54409,                0.47936,                0.97214,                0.83823,                0.81917,                0.84673,                 0.7134,                0.55263,                 0.6154,                0.96014,             0.00037974,             0.00037974,             0.00037974
                     41,                0.44922,                0.40136,                0.89419,                0.83665,                0.75642,                0.81848,                0.67751,                0.55757,                0.66548,                0.96026,             0.00034674,             0.00034674,             0.00034674
                     42,                0.43607,                0.40644,                0.88407,                0.88863,                0.77694,                0.86569,                0.71244,                0.54499,                 0.5584,                0.95351,             0.00031373,             0.00031373,             0.00031373
                     43,                0.44314,                0.39583,                0.88154,                0.84563,                0.80434,                0.86623,                0.71367,                 0.5447,                0.57362,                0.94655,             0.00028072,             0.00028072,             0.00028072
                     44,                0.43455,                 0.3849,                0.86806,                 0.8902,                0.75641,                 0.8529,                0.71214,                0.53394,                0.58191,                0.94183,             0.00024772,             0.00024772,             0.00024772
                     45,                0.41921,                0.37628,                0.86744,                 0.8261,                0.79209,                0.83469,                0.70436,                 0.5225,                0.58137,                0.93616,             0.00021471,             0.00021471,             0.00021471
                     46,                0.40883,                0.34795,                0.85451,                0.82312,                0.80079,                0.84961,                0.70996,                0.52068,                0.59598,                0.93655,              0.0001817,              0.0001817,              0.0001817
                     47,                0.40188,                0.36249,                0.85746,                 0.8425,                0.78043,                0.85346,                0.71067,                0.51424,                 0.5707,                 0.9299,              0.0001487,              0.0001487,              0.0001487
                     48,                0.38163,                0.33446,                0.84574,                0.86678,                0.74931,                0.84529,                0.71677,                0.50415,                0.57781,                 0.9259,             0.00011569,             0.00011569,             0.00011569
                     49,                0.38015,                0.32478,                0.85878,                0.87748,                0.74657,                0.84923,                  0.714,                0.50582,                0.58242,                0.93276,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.37615,                0.32909,                 0.8519,                0.84848,                0.76502,                0.84864,                0.71874,                0.50025,                0.58092,                0.93119,             4.9677e-05,             4.9677e-05,             4.9677e-05
