                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5739,                 6.2431,                 1.3875,                0.07604,                0.04955,                0.03096,                0.01001,                 2.5499,                 5.0966,                 1.3957,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.5974,                 5.6737,                 1.4803,                0.08158,                0.04955,                0.03357,                0.01159,                  2.513,                   5.03,                 1.3848,             4.0748e-05,             4.0748e-05,             4.0748e-05
                      3,                 2.4382,                  6.269,                 1.4329,                 0.0407,                0.18829,                0.03814,                0.01429,                  2.455,                 4.9069,                 1.3616,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      4,                  2.592,                 5.8677,                 1.4314,                 0.0429,                0.23198,                0.04353,                0.01707,                 2.3935,                 4.7549,                 1.3512,             8.5176e-05,             8.5176e-05,             8.5176e-05
                      5,                 2.4395,                 5.3522,                 1.4306,                0.07106,                0.15946,                0.05192,                0.02071,                 2.2656,                 4.2555,                 1.3304,             0.00010315,             0.00010315,             0.00010315
                      6,                 2.2932,                 5.1131,                 1.2884,                0.07378,                0.15045,                0.06018,                 0.0247,                 2.1903,                 3.7258,                 1.3189,             0.00011829,             0.00011829,             0.00011829
                      7,                 2.1675,                 4.6494,                 1.2958,                0.08174,                0.23614,                0.07091,                0.02844,                 2.1515,                 3.4305,                 1.3249,              0.0001306,              0.0001306,              0.0001306
                      8,                 2.1761,                 4.2383,                 1.2912,                0.09513,                 0.2018,                0.07497,                0.02958,                  2.142,                 3.2658,                 1.3314,             0.00014008,             0.00014008,             0.00014008
                      9,                   2.19,                 3.5511,                 1.3029,                0.10263,                 0.2018,                0.08151,                0.03239,                 2.1168,                  3.219,                 1.3239,             0.00014673,             0.00014673,             0.00014673
                     10,                 2.1639,                 3.5374,                 1.2513,                 0.1041,                0.19279,                0.08518,                0.03491,                 2.0991,                 3.1591,                 1.3184,             0.00015055,             0.00015055,             0.00015055
                     11,                 2.0705,                 3.3433,                  1.302,                 0.0984,                0.19279,                0.09043,                0.03884,                 2.0926,                 3.1058,                 1.3119,             0.00015155,             0.00015155,             0.00015155
                     12,                 1.9638,                 3.2009,                 1.2289,                0.08631,                0.22883,                0.08999,                0.03886,                  2.093,                 3.0351,                 1.3052,             0.00014971,             0.00014971,             0.00014971
                     13,                 2.0321,                 2.9357,                 1.3352,                0.08843,                0.20315,                0.08984,                0.03816,                 2.0829,                 2.9896,                 1.2967,             0.00014504,             0.00014504,             0.00014504
                     14,                 1.9976,                 2.9436,                 1.2462,                0.08046,                0.21667,                0.09258,                0.03838,                 2.0774,                 2.9445,                  1.287,             0.00013755,             0.00013755,             0.00013755
                     15,                 2.1126,                 3.0253,                 1.1998,                0.08592,                0.20766,                0.09136,                0.03671,                 2.0761,                 2.8996,                 1.2816,             0.00012722,             0.00012722,             0.00012722
                     16,                 1.9757,                 2.8573,                 1.1795,                0.08296,                0.19099,                0.08839,                0.03521,                 2.0807,                 2.8501,                 1.2751,             0.00011407,             0.00011407,             0.00011407
                     17,                 1.9487,                 2.7764,                 1.2243,                0.09246,                 0.2045,                0.08541,                0.03405,                 2.0785,                 2.8014,                  1.266,             9.8087e-05,             9.8087e-05,             9.8087e-05
                     18,                 1.9541,                 2.7768,                 1.2289,                0.08377,                0.21351,                0.08314,                 0.0336,                 2.0691,                 2.7649,                 1.2574,             7.9274e-05,             7.9274e-05,             7.9274e-05
                     19,                  2.018,                 2.7282,                 1.2305,                0.09051,                0.22252,                0.08413,                0.03386,                 2.0666,                 2.7314,                 1.2502,             5.7632e-05,             5.7632e-05,             5.7632e-05
                     20,                 1.9355,                 2.7916,                 1.2508,                0.09611,                0.21802,                0.08419,                0.03354,                 2.0624,                  2.705,                 1.2452,              3.316e-05,              3.316e-05,              3.316e-05
