                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0215,                0.81009,                0.97454,                 0.8523,                 0.7365,                0.81313,                0.56807,                 0.8092,                 0.8082,                0.97018,             0.00054274,             0.00054274,             0.00054274
                      2,                 1.0178,                0.70557,                0.94926,                0.77957,                 0.7169,                0.71179,                0.52852,                0.83216,                 0.8891,                0.99542,              0.0010767,              0.0010767,              0.0010767
                      3,                 0.9736,                0.66818,                0.95213,                0.84282,                0.73326,                 0.7786,                0.57208,                0.82175,                 0.8012,                0.98294,              0.0015886,              0.0015886,              0.0015886
                      4,                0.97296,                0.65192,                  0.949,                0.85312,                0.70737,                0.77991,                0.56496,                0.82358,                0.82278,                0.99507,               0.001568,               0.001568,               0.001568
                      5,                0.95472,                 0.6413,                0.94913,                0.80716,                0.74074,                 0.7562,                0.54887,                0.87101,                0.83347,                  1.029,               0.001535,               0.001535,               0.001535
                      6,                0.92536,                0.59942,                0.93652,                0.82084,                0.77201,                0.81345,                0.59001,                 0.8097,                0.71982,                0.98939,               0.001502,               0.001502,               0.001502
                      7,                0.89903,                0.59332,                0.93081,                0.88862,                0.79224,                  0.837,                0.61641,                0.79066,                0.77092,                0.99732,               0.001469,               0.001469,               0.001469
                      8,                0.87246,                0.59478,                 0.9349,                 0.8237,                0.70689,                0.77047,                0.55467,                0.80907,                0.82878,                 1.0262,               0.001436,               0.001436,               0.001436
                      9,                0.86858,                0.59458,                0.92262,                0.77481,                0.66205,                0.69845,                0.52841,                 0.8228,                0.91255,                  1.001,              0.0014029,              0.0014029,              0.0014029
                     10,                0.86713,                0.56715,                0.93001,                0.84716,                0.74174,                0.78697,                0.59304,                 0.7836,                0.74667,                0.99492,              0.0013699,              0.0013699,              0.0013699
                     11,                0.86473,                0.57127,                0.93374,                 0.8285,                0.80335,                0.80761,                0.60488,                0.78974,                0.64738,                0.98587,              0.0013369,              0.0013369,              0.0013369
                     12,                0.82587,                0.55874,                 0.9173,                0.89151,                0.70734,                0.80957,                0.59879,                0.76838,                0.70964,                0.97292,              0.0013039,              0.0013039,              0.0013039
                     13,                0.85171,                0.55409,                0.92113,                0.78864,                0.74221,                0.77024,                0.57724,                  0.771,                0.76407,                0.96898,              0.0012709,              0.0012709,              0.0012709
                     14,                0.82486,                 0.5468,                0.92545,                0.83262,                0.78152,                0.85126,                0.65232,                0.72592,                0.63044,                0.95322,              0.0012379,              0.0012379,              0.0012379
                     15,                0.79848,                0.53174,                0.91741,                0.91946,                0.73929,                0.83638,                0.63878,                0.70769,                0.65539,                0.94845,              0.0012049,              0.0012049,              0.0012049
                     16,                0.79715,                0.52956,                0.90848,                0.80639,                0.80629,                0.78593,                0.59975,                0.74531,                0.70125,                 0.9674,              0.0011719,              0.0011719,              0.0011719
                     17,                0.79985,                0.51114,                0.90963,                0.91042,                 0.7594,                 0.8374,                0.65214,                 0.7226,                 0.6393,                0.95097,              0.0011389,              0.0011389,              0.0011389
                     18,                0.81688,                0.51809,                0.92111,                0.88563,                0.75008,                0.81798,                0.64225,                0.69749,                0.63143,                0.94943,              0.0011059,              0.0011059,              0.0011059
