                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5739,                 6.2431,                 1.3875,                0.07604,                0.04955,                0.03096,                0.01001,                 2.5499,                 5.0966,                 1.3957,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.5974,                 5.6737,                 1.4803,                0.08161,                0.04955,                0.03356,                0.01173,                  2.514,                 5.0296,                 1.3847,             4.2021e-05,             4.2021e-05,             4.2021e-05
                      3,                 2.4354,                 6.2584,                 1.4313,                0.08551,                0.04955,                0.03846,                0.01453,                 2.4534,                  4.876,                 1.3636,             6.8621e-05,             6.8621e-05,             6.8621e-05
                      4,                 2.5856,                 5.8562,                 1.4284,                0.04361,                0.24865,                0.04428,                 0.0176,                 2.3877,                 4.7039,                   1.35,             9.4088e-05,             9.4088e-05,             9.4088e-05
                      5,                 2.4271,                 5.3107,                 1.4277,                0.07697,                 0.1253,                0.05433,                0.02201,                 2.2474,                 4.1563,                 1.3259,             0.00011842,             0.00011842,             0.00011842
                      6,                 2.2767,                 5.0087,                 1.2821,                0.07772,                0.15495,                0.06353,                0.02571,                 2.1648,                 3.6556,                 1.3165,             0.00014163,             0.00014163,             0.00014163
                      7,                 2.1505,                 4.4628,                 1.2897,                0.08835,                0.22297,                0.07251,                0.02834,                 2.1517,                 3.3601,                 1.3326,              0.0001637,              0.0001637,              0.0001637
                      8,                 2.1652,                 3.9361,                 1.2826,                 0.0959,                 0.1675,                0.08341,                0.03539,                 2.1065,                 3.2854,                 1.3249,             0.00018464,             0.00018464,             0.00018464
                      9,                  2.185,                 3.3099,                 1.2951,                0.10229,                0.16126,                 0.0925,                0.03979,                 2.1047,                 3.2474,                 1.3259,             0.00020445,             0.00020445,             0.00020445
                     10,                 2.1265,                 3.2832,                 1.2325,                 0.1107,                0.15225,                0.09192,                0.03919,                 2.1069,                 3.1876,                 1.3275,             0.00022313,             0.00022313,             0.00022313
                     11,                 2.1707,                 3.1992,                 1.2271,                0.09913,                0.14324,                0.09061,                0.03784,                 2.0943,                 3.1135,                 1.3173,             0.00024067,             0.00024067,             0.00024067
                     12,                 2.1087,                 2.8535,                 1.2683,                0.09597,                 0.2018,                0.09182,                0.03807,                 2.0932,                 3.0647,                 1.3091,             0.00025709,             0.00025709,             0.00025709
                     13,                 2.0603,                 2.8098,                 1.1836,                0.11151,                0.18514,                 0.0906,                0.03776,                 2.0856,                 2.9882,                 1.2913,             0.00027237,             0.00027237,             0.00027237
                     14,                 2.0001,                 2.8182,                 1.1544,                 0.0835,                 0.1518,                0.08477,                0.03395,                 2.0626,                 2.9298,                 1.2703,             0.00028652,             0.00028652,             0.00028652
                     15,                 1.8873,                 2.7639,                 1.1268,                0.08189,                0.17432,                0.08381,                0.03329,                  2.043,                 2.8302,                 1.2512,             0.00029954,             0.00029954,             0.00029954
                     16,                 1.9389,                   2.68,                 1.1281,                0.09561,                0.16532,                0.07774,                 0.0312,                 2.0533,                 2.7306,                 1.2496,             0.00031142,             0.00031142,             0.00031142
                     17,                 2.0284,                 2.5168,                 1.1724,                0.07158,                0.18333,                0.06373,                0.02281,                 2.0378,                 2.6489,                 1.2361,             0.00032218,             0.00032218,             0.00032218
                     18,                 1.9826,                 2.4912,                 1.1724,                0.04688,                0.15315,                0.06426,                0.02175,                 2.0322,                 2.5935,                  1.229,              0.0003318,              0.0003318,              0.0003318
                     19,                 1.8599,                 2.5144,                  1.144,                0.04643,                0.14865,                0.06839,                0.02242,                  2.021,                 2.5534,                 1.2201,             0.00034029,             0.00034029,             0.00034029
                     20,                 1.8839,                 2.4562,                 1.1199,                0.05555,                0.17117,                0.07412,                0.02502,                 2.0146,                 2.5287,                 1.2165,             0.00034765,             0.00034765,             0.00034765
                     21,                 1.8933,                 2.5044,                 1.1399,                0.39517,                0.17568,                0.12905,                0.06756,                 1.9998,                 2.5069,                 1.2161,             0.00035388,             0.00035388,             0.00035388
                     22,                 1.8564,                 2.3957,                 1.1408,                0.07943,                0.67432,                0.14513,                 0.0661,                 1.9846,                 2.4658,                 1.2096,             0.00035897,             0.00035897,             0.00035897
                     23,                 1.9113,                 2.3569,                 1.1002,                0.39602,                0.26126,                0.15657,                0.06665,                 1.9775,                 2.4125,                 1.1984,             0.00036294,             0.00036294,             0.00036294
                     24,                 1.8718,                 2.3419,                 1.0878,                0.41256,                0.23034,                0.17472,                 0.0739,                 1.9901,                 2.3633,                 1.1933,             0.00036577,             0.00036577,             0.00036577
                     25,                 1.9053,                 2.2508,                 1.0732,                0.41436,                0.22072,                0.19936,                0.08603,                 2.0204,                 2.3304,                 1.1938,             0.00036747,             0.00036747,             0.00036747
                     26,                 1.8801,                 2.1944,                 1.1688,                 0.4222,                0.22523,                0.22407,                0.09789,                 2.0374,                 2.2941,                 1.1904,             0.00036804,             0.00036804,             0.00036804
                     27,                 1.7549,                 2.2361,                 1.0478,                0.43002,                0.23874,                0.24321,                 0.1083,                 2.0122,                 2.2521,                 1.1822,             0.00036748,             0.00036748,             0.00036748
                     28,                  1.779,                 2.1723,                   1.06,                0.43002,                0.23874,                0.24321,                 0.1083,                 2.0122,                 2.2521,                 1.1822,             0.00036578,             0.00036578,             0.00036578
                     29,                 1.8029,                 2.1479,                 1.0499,                0.45611,                0.28323,                0.25558,                 0.1117,                 1.9619,                 2.2239,                  1.176,             0.00036295,             0.00036295,             0.00036295
                     30,                 1.8136,                  2.211,                 1.0633,                0.46478,                0.32658,                0.27007,                 0.1154,                 1.9339,                 2.1859,                 1.1726,               0.000359,               0.000359,               0.000359
                     31,                 1.7854,                 2.1034,                 1.0833,                0.46478,                0.32658,                0.27007,                 0.1154,                 1.9339,                 2.1859,                 1.1726,             0.00035391,             0.00035391,             0.00035391
                     32,                 1.7765,                  2.115,                 1.0865,                0.46448,                0.32376,                0.27155,                0.11309,                 1.9179,                 2.1508,                 1.1768,             0.00034768,             0.00034768,             0.00034768
                     33,                 1.8039,                 2.0993,                 1.0912,                0.50122,                0.30405,                0.28563,                0.11339,                 1.9029,                 2.1065,                 1.1743,             0.00034033,             0.00034033,             0.00034033
                     34,                 1.8787,                 2.0566,                 1.1287,                0.50122,                0.30405,                0.28563,                0.11339,                 1.9029,                 2.1065,                 1.1743,             0.00033185,             0.00033185,             0.00033185
                     35,                 1.7915,                 2.1176,                 1.1088,                 0.4799,                0.40676,                0.28601,                0.11896,                 1.8893,                  2.068,                 1.1701,             0.00032223,             0.00032223,             0.00032223
                     36,                 1.8432,                 2.0486,                 1.1049,                0.47787,                0.41126,                0.28947,                 0.1229,                 1.8732,                 2.0307,                 1.1648,             0.00031148,             0.00031148,             0.00031148
                     37,                 1.7855,                 2.0247,                 1.0572,                0.47787,                0.41126,                0.28947,                 0.1229,                 1.8732,                 2.0307,                 1.1648,              0.0002996,              0.0002996,              0.0002996
                     38,                  1.747,                 1.9851,                 1.0998,                0.47691,                0.39459,                0.29032,                0.12822,                 1.8609,                 1.9976,                 1.1612,             0.00028659,             0.00028659,             0.00028659
